,Unnamed: 0,base_name,solvent_name,activator_name,nucleophile_name,base_smiles,solvent_smiles,activator_smiles,nucleophile_smiles,yield,nucleophile_id,1-Methylimidazole,"2,6-Lutidine",N-methylmorpholine,Diisopropylethylamine,THF,MeCN,DMF,PFTU,TCFH,HATU,PyBOP,BOP-Cl,TFFH,DPPCl,HOTU,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10
490,490,N-methylmorpholine,DMF,PFTU,2-methyl-4-nitroaniline,CN1CCOCC1,CN(C)C=O,CN(C)C(=[O+]c1c(F)c(F)c(F)c(F)c1F)N(C)C.F[P-](F)(F)(F)(F)F,Cc1cc([N+](=O)[O-])ccc1N,1.3,n6,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
446,446,N-methylmorpholine,THF,TFFH,3-amino-4-chlorobenzonitrile,CN1CCOCC1,C1CCOC1,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(Cl)c(N)c1,5.21,n5,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
453,453,"2,6-Lutidine",DMF,TFFH,3-amino-4-chlorobenzonitrile,Cc1cccc(C)n1,CN(C)C=O,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(Cl)c(N)c1,5.26,n5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
112,112,1-Methylimidazole,MeCN,TCFH,1-(4-aminophenyl)-N-methylmethanesulfonamide,Cn1ccnc1,CC#N,CN(C)C(=[Cl+])N(C)C.F[P-](F)(F)(F)(F)F,CNS(=O)(=O)Cc1ccc(N)cc1,63.09,n2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
778,778,N-methylmorpholine,DMF,PFTU,6-chloropyridazin-3-amine,CN1CCOCC1,CN(C)C=O,CN(C)C(=[O+]c1c(F)c(F)c(F)c(F)c1F)N(C)C.F[P-](F)(F)(F)(F)F,N=c1ccc(Cl)n[nH]1,3.77,n9,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
377,377,"2,6-Lutidine",MeCN,HOTU,"2-bromo-4,6-dimethylaniline",Cc1cccc(C)n1,CC#N,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,Cc1cc(C)c(N)c(Br)c1,12.69,n4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
506,506,N-methylmorpholine,THF,HATU,2-methyl-4-nitroaniline,CN1CCOCC1,C1CCOC1,CN(C)C(=[O+]n1nnc2cccnc21)N(C)C.F[P-](F)(F)(F)(F)F,Cc1cc([N+](=O)[O-])ccc1N,1.76,n6,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
505,505,"2,6-Lutidine",THF,HATU,2-methyl-4-nitroaniline,Cc1cccc(C)n1,C1CCOC1,CN(C)C(=[O+]n1nnc2cccnc21)N(C)C.F[P-](F)(F)(F)(F)F,Cc1cc([N+](=O)[O-])ccc1N,0.43,n6,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
649,649,"2,6-Lutidine",THF,DPPCl,6-methylquinolin-5-amine,Cc1cccc(C)n1,C1CCOC1,O=P(Cl)(c1ccccc1)c1ccccc1,Cc1ccc2ncccc2c1N,34.65,n7,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
385,385,"2,6-Lutidine",THF,PFTU,3-amino-4-chlorobenzonitrile,Cc1cccc(C)n1,C1CCOC1,CN(C)C(=[O+]c1c(F)c(F)c(F)c(F)c1F)N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(Cl)c(N)c1,1.11,n5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
811,811,Diisopropylethylamine,MeCN,PyBOP,6-chloropyridazin-3-amine,CCN(C(C)C)C(C)C,CC#N,F[P-](F)(F)(F)(F)F.c1ccc2c(c1)nnn2O[P+](N1CCCC1)(N1CCCC1)N1CCCC1,N=c1ccc(Cl)n[nH]1,24.04,n9,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
284,284,1-Methylimidazole,DMF,HOTU,"1,3-diphenyl-1H-pyrazol-5-amine",Cn1ccnc1,CN(C)C=O,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,36.52,n3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
430,430,N-methylmorpholine,DMF,PyBOP,3-amino-4-chlorobenzonitrile,CN1CCOCC1,CN(C)C=O,F[P-](F)(F)(F)(F)F.c1ccc2c(c1)nnn2O[P+](N1CCCC1)(N1CCCC1)N1CCCC1,N#Cc1ccc(Cl)c(N)c1,1.64,n5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
74,74,N-methylmorpholine,THF,DPPCl,4-amino-2-(trifluoromethyl)benzonitrile,CN1CCOCC1,C1CCOC1,O=P(Cl)(c1ccccc1)c1ccccc1,N#Cc1ccc(N)cc1C(F)(F)F,47.92,n1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
229,229,"2,6-Lutidine",THF,PyBOP,"1,3-diphenyl-1H-pyrazol-5-amine",Cc1cccc(C)n1,C1CCOC1,F[P-](F)(F)(F)(F)F.c1ccc2c(c1)nnn2O[P+](N1CCCC1)(N1CCCC1)N1CCCC1,Nc1cc(-c2ccccc2)nn1-c1ccccc1,-0.0,n3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
294,294,N-methylmorpholine,MeCN,PFTU,"2-bromo-4,6-dimethylaniline",CN1CCOCC1,CC#N,CN(C)C(=[O+]c1c(F)c(F)c(F)c(F)c1F)N(C)C.F[P-](F)(F)(F)(F)F,Cc1cc(C)c(N)c(Br)c1,3.61,n4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
866,866,N-methylmorpholine,THF,PFTU,methyl 2-amino-4-chlorobenzoate,CN1CCOCC1,C1CCOC1,CN(C)C(=[O+]c1c(F)c(F)c(F)c(F)c1F)N(C)C.F[P-](F)(F)(F)(F)F,COC(=O)c1ccc(Cl)cc1N,20.95,n10,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
111,111,Diisopropylethylamine,THF,TCFH,1-(4-aminophenyl)-N-methylmethanesulfonamide,CCN(C(C)C)C(C)C,C1CCOC1,CN(C)C(=[Cl+])N(C)C.F[P-](F)(F)(F)(F)F,CNS(=O)(=O)Cc1ccc(N)cc1,16.74,n2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
709,709,"2,6-Lutidine",THF,PyBOP,"2,6-diisopropylaniline",Cc1cccc(C)n1,C1CCOC1,F[P-](F)(F)(F)(F)F.c1ccc2c(c1)nnn2O[P+](N1CCCC1)(N1CCCC1)N1CCCC1,CC(C)c1cccc(C(C)C)c1N,14.33,n8,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
666,666,N-methylmorpholine,MeCN,HOTU,6-methylquinolin-5-amine,CN1CCOCC1,CC#N,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,Cc1ccc2ncccc2c1N,51.4,n7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
563,563,Diisopropylethylamine,DMF,DPPCl,2-methyl-4-nitroaniline,CCN(C(C)C)C(C)C,CN(C)C=O,O=P(Cl)(c1ccccc1)c1ccccc1,Cc1cc([N+](=O)[O-])ccc1N,1.69,n6,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
648,648,1-Methylimidazole,THF,DPPCl,6-methylquinolin-5-amine,Cn1ccnc1,C1CCOC1,O=P(Cl)(c1ccccc1)c1ccccc1,Cc1ccc2ncccc2c1N,70.03,n7,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
470,470,N-methylmorpholine,THF,HOTU,3-amino-4-chlorobenzonitrile,CN1CCOCC1,C1CCOC1,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(Cl)c(N)c1,2.23,n5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
646,646,N-methylmorpholine,DMF,TFFH,6-methylquinolin-5-amine,CN1CCOCC1,CN(C)C=O,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,Cc1ccc2ncccc2c1N,10.22,n7,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
301,301,"2,6-Lutidine",THF,TCFH,"2-bromo-4,6-dimethylaniline",Cc1cccc(C)n1,C1CCOC1,CN(C)C(=[Cl+])N(C)C.F[P-](F)(F)(F)(F)F,Cc1cc(C)c(N)c(Br)c1,5.42,n4,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,9,"2,6-Lutidine",DMF,PFTU,4-amino-2-(trifluoromethyl)benzonitrile,Cc1cccc(C)n1,CN(C)C=O,CN(C)C(=[O+]c1c(F)c(F)c(F)c(F)c1F)N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,0.4,n1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
423,423,Diisopropylethylamine,THF,PyBOP,3-amino-4-chlorobenzonitrile,CCN(C(C)C)C(C)C,C1CCOC1,F[P-](F)(F)(F)(F)F.c1ccc2c(c1)nnn2O[P+](N1CCCC1)(N1CCCC1)N1CCCC1,N#Cc1ccc(Cl)c(N)c1,1.65,n5,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22,22,N-methylmorpholine,DMF,TCFH,4-amino-2-(trifluoromethyl)benzonitrile,CN1CCOCC1,CN(C)C=O,CN(C)C(=[Cl+])N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,9.95,n1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
658,658,N-methylmorpholine,DMF,DPPCl,6-methylquinolin-5-amine,CN1CCOCC1,CN(C)C=O,O=P(Cl)(c1ccccc1)c1ccccc1,Cc1ccc2ncccc2c1N,67.72,n7,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
836,836,1-Methylimidazole,DMF,TFFH,6-chloropyridazin-3-amine,Cn1ccnc1,CN(C)C=O,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,N=c1ccc(Cl)n[nH]1,51.48,n9,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
930,930,N-methylmorpholine,MeCN,TFFH,methyl 2-amino-4-chlorobenzoate,CN1CCOCC1,CC#N,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,COC(=O)c1ccc(Cl)cc1N,1.05,n10,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
343,343,Diisopropylethylamine,MeCN,BOP-Cl,"2-bromo-4,6-dimethylaniline",CCN(C(C)C)C(C)C,CC#N,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,Cc1cc(C)c(N)c(Br)c1,19.46,n4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
923,923,Diisopropylethylamine,DMF,BOP-Cl,methyl 2-amino-4-chlorobenzoate,CCN(C(C)C)C(C)C,CN(C)C=O,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,COC(=O)c1ccc(Cl)cc1N,6.25,n10,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
576,576,1-Methylimidazole,THF,PFTU,6-methylquinolin-5-amine,Cn1ccnc1,C1CCOC1,CN(C)C(=[O+]c1c(F)c(F)c(F)c(F)c1F)N(C)C.F[P-](F)(F)(F)(F)F,Cc1ccc2ncccc2c1N,3.98,n7,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
610,610,N-methylmorpholine,DMF,HATU,6-methylquinolin-5-amine,CN1CCOCC1,CN(C)C=O,CN(C)C(=[O+]n1nnc2cccnc21)N(C)C.F[P-](F)(F)(F)(F)F,Cc1ccc2ncccc2c1N,55.36,n7,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
958,958,N-methylmorpholine,DMF,HOTU,methyl 2-amino-4-chlorobenzoate,CN1CCOCC1,CN(C)C=O,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,COC(=O)c1ccc(Cl)cc1N,19.64,n10,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
276,276,1-Methylimidazole,THF,HOTU,"1,3-diphenyl-1H-pyrazol-5-amine",Cn1ccnc1,C1CCOC1,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,23.06,n3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3,3,Diisopropylethylamine,THF,PFTU,4-amino-2-(trifluoromethyl)benzonitrile,CCN(C(C)C)C(C)C,C1CCOC1,CN(C)C(=[O+]c1c(F)c(F)c(F)c(F)c1F)N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,0.18,n1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
282,282,N-methylmorpholine,MeCN,HOTU,"1,3-diphenyl-1H-pyrazol-5-amine",CN1CCOCC1,CC#N,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,18.23,n3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
295,295,Diisopropylethylamine,MeCN,PFTU,"2-bromo-4,6-dimethylaniline",CCN(C(C)C)C(C)C,CC#N,CN(C)C(=[O+]c1c(F)c(F)c(F)c(F)c1F)N(C)C.F[P-](F)(F)(F)(F)F,Cc1cc(C)c(N)c(Br)c1,12.85,n4,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
198,198,N-methylmorpholine,MeCN,PFTU,"1,3-diphenyl-1H-pyrazol-5-amine",CN1CCOCC1,CC#N,CN(C)C(=[O+]c1c(F)c(F)c(F)c(F)c1F)N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,3.67,n3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
189,189,"2,6-Lutidine",DMF,HOTU,1-(4-aminophenyl)-N-methylmethanesulfonamide,Cc1cccc(C)n1,CN(C)C=O,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,CNS(=O)(=O)Cc1ccc(N)cc1,57.32,n2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
569,569,"2,6-Lutidine",MeCN,HOTU,2-methyl-4-nitroaniline,Cc1cccc(C)n1,CC#N,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,Cc1cc([N+](=O)[O-])ccc1N,2.03,n6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
691,691,Diisopropylethylamine,MeCN,TCFH,"2,6-diisopropylaniline",CCN(C(C)C)C(C)C,CC#N,CN(C)C(=[Cl+])N(C)C.F[P-](F)(F)(F)(F)F,CC(C)c1cccc(C(C)C)c1N,9.84,n8,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
264,264,1-Methylimidazole,THF,DPPCl,"1,3-diphenyl-1H-pyrazol-5-amine",Cn1ccnc1,C1CCOC1,O=P(Cl)(c1ccccc1)c1ccccc1,Nc1cc(-c2ccccc2)nn1-c1ccccc1,23.11,n3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
846,846,N-methylmorpholine,MeCN,DPPCl,6-chloropyridazin-3-amine,CN1CCOCC1,CC#N,O=P(Cl)(c1ccccc1)c1ccccc1,N=c1ccc(Cl)n[nH]1,35.12,n9,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
62,62,N-methylmorpholine,THF,TFFH,4-amino-2-(trifluoromethyl)benzonitrile,CN1CCOCC1,C1CCOC1,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,3.67,n1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
887,887,Diisopropylethylamine,DMF,TCFH,methyl 2-amino-4-chlorobenzoate,CCN(C(C)C)C(C)C,CN(C)C=O,CN(C)C(=[Cl+])N(C)C.F[P-](F)(F)(F)(F)F,COC(=O)c1ccc(Cl)cc1N,3.51,n10,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
99,99,Diisopropylethylamine,THF,PFTU,1-(4-aminophenyl)-N-methylmethanesulfonamide,CCN(C(C)C)C(C)C,C1CCOC1,CN(C)C(=[O+]c1c(F)c(F)c(F)c(F)c1F)N(C)C.F[P-](F)(F)(F)(F)F,CNS(=O)(=O)Cc1ccc(N)cc1,27.11,n2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
158,158,N-methylmorpholine,THF,TFFH,1-(4-aminophenyl)-N-methylmethanesulfonamide,CN1CCOCC1,C1CCOC1,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,CNS(=O)(=O)Cc1ccc(N)cc1,57.54,n2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
91,91,Diisopropylethylamine,MeCN,HOTU,4-amino-2-(trifluoromethyl)benzonitrile,CCN(C(C)C)C(C)C,CC#N,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,3.7,n1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
763,763,Diisopropylethylamine,MeCN,HOTU,"2,6-diisopropylaniline",CCN(C(C)C)C(C)C,CC#N,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,CC(C)c1cccc(C(C)C)c1N,17.93,n8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
309,309,"2,6-Lutidine",DMF,TCFH,"2-bromo-4,6-dimethylaniline",Cc1cccc(C)n1,CN(C)C=O,CN(C)C(=[Cl+])N(C)C.F[P-](F)(F)(F)(F)F,Cc1cc(C)c(N)c(Br)c1,20.0,n4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
434,434,N-methylmorpholine,THF,BOP-Cl,3-amino-4-chlorobenzonitrile,CN1CCOCC1,C1CCOC1,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,N#Cc1ccc(Cl)c(N)c1,40.55,n5,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
758,758,N-methylmorpholine,THF,HOTU,"2,6-diisopropylaniline",CN1CCOCC1,C1CCOC1,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,CC(C)c1cccc(C(C)C)c1N,25.3,n8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
243,243,Diisopropylethylamine,THF,BOP-Cl,"1,3-diphenyl-1H-pyrazol-5-amine",CCN(C(C)C)C(C)C,C1CCOC1,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,Nc1cc(-c2ccccc2)nn1-c1ccccc1,10.8,n3,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
299,299,Diisopropylethylamine,DMF,PFTU,"2-bromo-4,6-dimethylaniline",CCN(C(C)C)C(C)C,CN(C)C=O,CN(C)C(=[O+]c1c(F)c(F)c(F)c(F)c1F)N(C)C.F[P-](F)(F)(F)(F)F,Cc1cc(C)c(N)c(Br)c1,7.62,n4,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
210,210,N-methylmorpholine,MeCN,TCFH,"1,3-diphenyl-1H-pyrazol-5-amine",CN1CCOCC1,CC#N,CN(C)C(=[Cl+])N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,33.67,n3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
